desrciption,Fleiss_kappa,Krippendroffis_alpha
2149zhengzhang,0.5507389162561573,0.5536945812807882
2149tianyi,0.488215488215487,0.4915824915824915
2149zhengning,1.0,1.0
2149toby,0.7686453576864543,0.7701674277016743
532zhengzhang,0.650574712643677,0.6528735632183909
532tianyi,0.705996131528046,0.7079303675048356
532zhengning,0.5601851851851846,0.5630787037037037
532toby,0.705996131528046,0.7079303675048356
2094zhengzhang,0.7931972789115644,0.7945578231292517
2094tianyi,0.7931972789115644,0.7945578231292517
2094zhengning,0.7931972789115644,0.7945578231292517
2094toby,0.7931972789115644,0.7945578231292517
1125zhengzhang,1.0,1.0
1125tianyi,0.3795918367346951,0.3836734693877551
1125zhengning,0.1441441441441388,0.1497747747747746
1125toby,0.3510673234811143,0.355336617405583
2294zhengzhang,0.4216133942161319,0.4254185692541857
2294tianyi,0.4446593595529765,0.4483129163980228
2294zhengning,0.3795918367346951,0.3836734693877551
2294toby,0.1513957307060751,0.1569786535303776
1274zhengzhang,1.0,1.0
1274tianyi,1.0,1.0
1274zhengning,1.0,1.0
1274toby,1.0,1.0
251zhengzhang,0.7931972789115644,0.7945578231292517
251tianyi,0.7931972789115644,0.7945578231292517
251zhengning,0.4864864864864855,0.4898648648648649
1978zhengzhang,1.0,1.0
1978tianyi,1.0,1.0
1978toby,1.0,1.0
2018zhengzhang,1.0,1.0
2018tianyi,1.0,1.0
2018toby,1.0,1.0
1331zhengzhang,0.5174603174603188,0.5206349206349208
1331tianyi,0.5174603174603188,0.5206349206349208
1331zhengning,0.5174603174603188,0.5206349206349208
1331toby,0.5174603174603188,0.5206349206349208
1139zhengzhang,1.0,1.0
1139tianyi,0.7931972789115644,0.7945578231292517
1139zhengning,1.0,1.0
1139toby,1.0,1.0
2179zhengzhang,0.3153153153153111,0.3198198198198199
2179tianyi,0.251231527093596,0.2561576354679803
2179zhengning,0.2962962962962985,0.3009259259259259
2179toby,0.3059360730593597,0.3105022831050228
2153zhengzhang,0.3059360730593597,0.3105022831050228
2153tianyi,0.2083333333333343,0.2135416666666666
2153zhengning,0.4864864864864855,0.4898648648648649
2153toby,0.3153153153153111,0.3198198198198199
2168zhengzhang,0.4509031198686365,0.4545155993431855
2168tianyi,0.1902587519025861,0.19558599695586
2168zhengning,0.5507389162561573,0.5536945812807882
2168toby,0.5601851851851868,0.5630787037037037
2000zhengzhang,0.5507389162561573,0.5536945812807882
2000tianyi,0.2520072520072512,0.2569282569282569
2000zhengning,0.5507389162561573,0.5536945812807882
2000toby,0.4722222222222225,0.4756944444444444
1961zhengzhang,-0.0270270270270311,-0.0202702702702701
1961tianyi,0.1203703703703712,0.1261574074074072
1961zhengning,0.251231527093596,0.2561576354679803
1961toby,0.051559934318553,0.0577996715927751
1578zhengzhang,0.2962962962962985,0.3009259259259259
1578tianyi,0.2520072520072512,0.2569282569282569
1578zhengning,0.4864864864864855,0.4898648648648649
1578toby,0.251231527093596,0.2561576354679803
1585zhengzhang,1.0,1.0
1585tianyi,1.0,1.0
1585zhengning,0.7931972789115644,0.7945578231292517
1585toby,1.0,1.0
1671zhengzhang,0.7931972789115644,0.7945578231292517
1671tianyi,0.7931972789115644,0.7945578231292517
1671zhengning,0.7686453576864543,0.7701674277016743
1671toby,0.7931972789115644,0.7945578231292517
1704zhengzhang,0.7931972789115644,0.7945578231292517
1704tianyi,0.4864864864864855,0.4898648648648649
1704zhengning,0.4216133942161319,0.4254185692541857
1704toby,0.3795918367346951,0.3836734693877551
2373zhengzhang,0.103854875283446,0.1097505668934241
2373tianyi,0.103854875283446,0.1097505668934241
2373zhengning,-0.0270270270270311,-0.0202702702702701
2373toby,0.1441441441441388,0.1497747747747746
798zhengzhang,1.0,1.0
798zhengning,0.4864864864864855,0.4898648648648649
798toby,0.5174603174603171,0.5206349206349208
1131zhengzhang,0.2962962962962963,0.3009259259259259
1131tianyi,0.2150234741784029,0.22018779342723
1131zhengning,0.5507389162561573,0.5536945812807882
1131toby,0.3842592592592594,0.3883101851851851
2374zhengzhang,0.3510673234811169,0.355336617405583
2374tianyi,0.5507389162561573,0.5536945812807882
2374zhengning,0.3510673234811143,0.355336617405583
2374toby,0.2417233560090714,0.2467120181405896
1151zhengzhang,0.3795918367346951,0.3836734693877551
1151tianyi,0.3795918367346951,0.3836734693877551
1151zhengning,0.4864864864864855,0.4898648648648649
1151toby,0.3842592592592617,0.3883101851851851
2051zhengzhang,0.3510673234811169,0.355336617405583
2051tianyi,0.429107981220658,0.4328638497652581
2051zhengning,0.4864864864864855,0.4898648648648649
2051toby,0.4864864864864855,0.4898648648648649
1880zhengzhang,0.3153153153153111,0.3198198198198199
1880tianyi,0.3510673234811143,0.355336617405583
1880zhengning,0.5507389162561573,0.5536945812807882
1880toby,0.3510673234811143,0.355336617405583
2069zhengzhang,0.7931972789115644,0.7945578231292517
2069tianyi,0.7361111111111118,0.7378472222222222
2069zhengning,0.2417233560090714,0.2467120181405896
2069toby,0.2417233560090732,0.2467120181405896
2367zhengzhang,0.3059360730593597,0.3105022831050228
2367tianyi,0.1513957307060751,0.1569786535303776
2367zhengning,0.0745814307458154,0.0806697108066971
2367toby,0.7931972789115644,0.7945578231292517
2312zhengzhang,0.3795918367346951,0.3836734693877551
2312tianyi,0.1441441441441432,0.1497747747747746
2312zhengning,0.1441441441441388,0.1497747747747746
361zhengzhang,1.0,1.0
361tianyi,1.0,1.0
361zhengning,1.0,1.0
361toby,1.0,1.0
2037zhengzhang,0.3153153153153111,0.3198198198198199
2037tianyi,0.4864864864864855,0.4898648648648649
2037zhengning,0.3795918367346951,0.3836734693877551
2037toby,0.2962962962962963,0.3009259259259259
1841zhengzhang,0.3795918367346951,0.3836734693877551
1841tianyi,0.3795918367346951,0.3836734693877551
1841zhengning,0.4864864864864855,0.4898648648648649
1841toby,0.2065622669649479,0.2117822520507083
2078zhengzhang,0.1441441441441432,0.1497747747747746
2078tianyi,0.2863849765258209,0.2910798122065727
2078zhengning,-0.0340136054421741,-0.0272108843537415
2078toby,0.1441441441441388,0.1497747747747746
2151zhengzhang,1.0,1.0
2151tianyi,0.7931972789115644,0.7945578231292517
2151zhengning,1.0,1.0
2151toby,1.0,1.0
2025zhengzhang,1.0,1.0
2025tianyi,0.4571428571428572,0.4607142857142857
2025zhengning,0.8502463054187187,0.8512315270935961
2025toby,0.3059360730593597,0.3105022831050228
2070zhengzhang,0.4864864864864855,0.4898648648648649
2070tianyi,0.1203703703703712,0.1261574074074072
2070zhengning,1.0,1.0
2070toby,0.8502463054187187,0.8512315270935961
1804zhengzhang,0.4864864864864855,0.4898648648648649
1804tianyi,0.4864864864864855,0.4898648648648649
1804zhengning,0.4864864864864855,0.4898648648648649
1804toby,0.4864864864864855,0.4898648648648649
1747zhengzhang,0.7931972789115644,0.7945578231292517
1747tianyi,0.650574712643677,0.6528735632183909
1747zhengning,0.3059360730593597,0.3105022831050228
1747toby,0.4864864864864855,0.4898648648648649
1673zhengzhang,0.5174603174603171,0.5206349206349208
1673tianyi,0.251231527093596,0.2561576354679803
1673zhengning,0.3510673234811143,0.355336617405583
1673toby,0.2065622669649507,0.2117822520507084
2310zhengzhang,0.5174603174603171,0.5206349206349208
2310tianyi,0.3510673234811143,0.355336617405583
2310zhengning,0.5174603174603171,0.5206349206349208
2310toby,0.5174603174603171,0.5206349206349208
2061zhengzhang,1.0,1.0
2061tianyi,0.6529680365296806,0.6552511415525114
2061zhengning,0.650574712643677,0.6528735632183909
2061toby,1.0,1.0
478zhengzhang,1.0,1.0
478tianyi,1.0,1.0
478zhengning,1.0,1.0
478toby,1.0,1.0
1189zhengzhang,1.0,1.0
1189tianyi,0.3153153153153154,0.3198198198198199
1189zhengning,0.1038548752834495,0.1097505668934241
1189toby,0.7931972789115644,0.7945578231292517
1563zhengzhang,1.0,1.0
1563tianyi,0.7361111111111118,0.7378472222222222
1563toby,0.7361111111111118,0.7378472222222222
531zhengzhang,1.0,1.0
531tianyi,1.0,1.0
531toby,1.0,1.0
798tianyi,-0.0201342281879212,-0.0134228187919462
average,0.5590958694655894,0.5619965545348957
