,sql_id,coder_tianyi,code_tianyi,coder,code_ning,sql,GT_sql
4,2149,Tianyi,A1a,zhengning,A1a,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code = 'researcher' )
31,532,Tianyi,BL1; CL1,zhengning,"BL2, CL1, L4","SELECT COUNT( * ) , plays_games.stuid FROM plays_games",SELECT sum(gamesplayed) FROM Sportsinfo
36,2094,Tianyi,KA1b,zhengning,KA1b,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID = T2.Market_ID WHERE T2.Country = ""Japan"" ORDER BY T1.Year DESC"
56,1125,Tianyi,BL2; BL3,zhengning,BL2,"SELECT player.name_first , player.name_first FROM player JOIN all_star ON player.player_id = all_star.player_id WHERE all_star.year = 1998","SELECT name_first , name_last FROM player AS T1 JOIN all_star AS T2 ON T1.player_id = T2.player_id WHERE YEAR = 1998"
72,2294,Tianyi,CL1; D1,zhengning,"CL1, D1a",SELECT sportsinfo.stuid FROM sportsinfo WHERE student.sex = 'f' AND sportsinfo.sportname = 'football',"SELECT StuID FROM Student WHERE sex = 'F' INTERSECT SELECT StuID FROM Sportsinfo WHERE sportname = ""Football"""
84,1274,Tianyi,D1b,zhengning,D1b,SELECT COUNT( * ) FROM person WHERE person.age > 30 AND person.job = 'engineers',SELECT count(*) FROM Person WHERE age > 30 AND job = 'engineer'
104,251,Tianyi,BL1,zhengning,"BN1, BL1",SELECT park.city FROM park GROUP BY park.city HAVING COUNT( * ) > 2,SELECT state FROM park GROUP BY state HAVING count(*) > 2;
116,1978,Tianyi,D1a,zhengning,D1a,SELECT competition.country FROM competition WHERE competition.competition_type = 'friendly' INTERSECT SELECT competition.country FROM competition WHERE competition.competition_type = 'tournament',SELECT country FROM competition WHERE competition_type = 'Friendly' INTERSECT SELECT country FROM competition WHERE competition_type = 'Tournament'
132,2018,Tianyi,D1a,zhengning,D1a,SELECT song.song_name FROM song WHERE song.rating<(SELECT MIN( song.rating ) FROM song WHERE song.languages = 'English'),SELECT song_name FROM song WHERE rating < (SELECT min(rating) FROM song WHERE languages = 'english')
176,1331,Tianyi,D1a; D1b,zhengning,"K4, D1a, D1b","SELECT faculty.fname FROM faculty WHERE faculty.rank = 'professors,' ORDER BY faculty.fname ASC","SELECT Fname FROM FACULTY WHERE Rank = ""Professor"" ORDER BY Fname"
183,1139,Tianyi,BF4,zhengning,BF4,SELECT COUNT( * ) FROM postseason JOIN team ON postseason.team_id_loser = team.team_id_br WHERE team.name = 'Boston Red Stockings' AND postseason.losses = 2009,SELECT count(*) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_loser = T2.team_id_br WHERE T2.name = 'Boston Red Stockings' AND T1.year = 2009;
199,2179,Tianyi,"N3, O2",zhengning,"N3, O2",SELECT department.dname FROM minor_in JOIN department ON minor_in.dno = department.dno GROUP BY minor_in.dno HAVING COUNT( * ) = 1,SELECT DName FROM DEPARTMENT EXCEPT SELECT T1.DName FROM DEPARTMENT AS T1 JOIN MINOR_IN AS T2 ON T1.DNO = T2.DNO
215,2153,Tianyi,A1a,zhengning,A1a,SELECT projects.project_details FROM projects JOIN project_outcomes ON projects.project_id = project_outcomes.project_id,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_outcomes )
235,2168,Tianyi,N3; BL2,zhengning,"BL2, N3, F4","SELECT COUNT( * ) , person.job FROM person WHERE person.job = 'engineer' GROUP BY person.job",SELECT count(*) FROM Person WHERE age > (SELECT max(age) FROM person WHERE job = 'engineer')
247,2000,Tianyi,"BL3, P1",zhengning,"BL3, CE2, N3, K4, P1",SELECT artist.artist_name FROM artist GROUP BY song.releasedate ORDER BY song.releasedate ASC LIMIT 1,"SELECT T1.artist_name , T1.gender FROM artist AS T1 JOIN song AS T2 ON T1.artist_name = T2.artist_name WHERE T2.releasedate LIKE ""%Mar%"""
263,1961,Tianyi,CE3,zhengning,CE2,SELECT bank.bname FROM customer JOIN bank ON customer.branch_id = bank.branch_id WHERE customer.credit_score<100,SELECT T2.bname FROM loan AS T1 JOIN bank AS T2 ON T1.branch_id = T2.branch_id JOIN customer AS T3 ON T1.cust_id = T3.cust_id WHERE T3.credit_score < 100
279,1578,Tianyi,CE3,zhengning,CE3,SELECT documents.document_id FROM documents JOIN ref_document_types ON documents.document_type_code = ref_document_types.document_type_code WHERE ref_budget_codes.budget_type_description = 'Government',"SELECT T1.document_id FROM Documents_with_expenses AS T1 JOIN Ref_Budget_Codes AS T2 ON T1.Budget_Type_code = T2.Budget_Type_code WHERE T2.budget_type_Description = ""Government"""
295,1585,Tianyi,BL3,zhengning,BL3,"SELECT station.location , SUM( station.total_passengers ) FROM station GROUP BY station.location","SELECT LOCATION , sum(number_of_platforms) , sum(total_passengers) FROM station GROUP BY LOCATION"
311,1671,Tianyi,KA1b,zhengning,KA1b,SELECT airports.city FROM airports GROUP BY airports.city HAVING COUNT( * ) > 2,SELECT city FROM airports GROUP BY city HAVING count(*) > 2 ORDER BY count(*)
327,1704,Tianyi,F1,zhengning,F1,SELECT DISTINCT invoices.invoice_details FROM invoices WHERE invoices.invoice_date > '1989-09-03' OR invoices.invoice_date<'2007-12-25',"SELECT DISTINCT invoice_details FROM invoices WHERE invoice_date < ""1989-09-03"" OR invoice_date > ""2007-12-25"""
343,2373,Tianyi,CL1,zhengning,CL1,SELECT model_list.model FROM cars_data JOIN car_names ON cars_data.id = car_names.makeid ORDER BY cars_data.horsepower ASC LIMIT 1,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId = T2.Id ORDER BY T2.horsepower ASC LIMIT 1;
359,798,Tianyi,BL1,zhengning,BL1,"SELECT MAX( player.weight ) , MIN( player.height ) FROM player","SELECT max(weight) , min(weight) FROM Player"
375,1131,Tianyi,BL2; BF4,zhengning,"BL2, BF4","SELECT player.name_first , player.name_first FROM player WHERE player.death_city = 'null'","SELECT name_first , name_last FROM player WHERE death_year = '';"
399,2374,Tianyi,CL1; CE2,zhengning,"CL1, CE2",SELECT model_list.model FROM cars_data ORDER BY cars_data.horsepower ASC LIMIT 1,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId = T2.Id ORDER BY T2.horsepower ASC LIMIT 1;
407,1151,Tianyi,BF4; BL1,zhengning,"BL1, BF4",SELECT SUM( home_game.games ) FROM home_game JOIN team ON home_game.team_id = team.team_id_br WHERE team.name = 'Boston Red Stockings' AND home_game.attendance BETWEEN 2000 and 2010,SELECT sum(T1.attendance) FROM home_game AS T1 JOIN team AS T2 ON T1.team_id = T2.team_id_br WHERE T2.name = 'Boston Red Stockings' AND T1.year BETWEEN 2000 AND 2010;
423,2051,Tianyi,CE2; BL1,zhengning,"CE2, BL1","SELECT physician.name , affiliated_with.department FROM affiliated_with JOIN physician ON affiliated_with.physician = physician.employeeid WHERE affiliated_with.primaryaffiliation = 1","SELECT T1.name , T3.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.EmployeeID = T2.physician JOIN department AS T3 ON T2.department = T3.DepartmentID WHERE T2.PrimaryAffiliation = 1"
447,1880,Tianyi,"N3, F4",zhengning,"N3, F4","SELECT accounts.name , savings.balance FROM accounts JOIN savings ON accounts.custid = savings.custid JOIN accounts ON accounts.custid = savings.custid WHERE savings.balance<savings.balance GROUP BY accounts.name","SELECT T1.name , T3.balance + T2.balance FROM accounts AS T1 JOIN checking AS T2 ON T1.custid = T2.custid JOIN savings AS T3 ON T1.custid = T3.custid WHERE T3.balance < T2.balance"
459,2069,Tianyi,CE3; BE5,zhengning,BE5,SELECT AVG( procedures.cost ) FROM procedures JOIN trained_in ON procedures.code = trained_in.treatment JOIN procedures ON procedures.code = trained_in.physician WHERE physician.name = 'John Wen',"SELECT avg(T3.cost) FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid = T2.physician JOIN procedures AS T3 ON T3.code = T2.treatment WHERE T1.name = ""John Wen"""
483,2367,Tianyi,F3,zhengning,A1d,"SELECT stadium.name FROM concert, stadium WHERE stadium.stadium_id = (SELECT stadium.name FROM concert JOIN stadium ON concert.stadium_id = stadium.stadium_id WHERE concert.year = 2014 AND concert.year = 2014)",SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.year = 2014
487,2312,Tianyi,A1e,zhengning,A1e,"SELECT addresses.town_city , addresses.state_province_county FROM addresses",SELECT town_city FROM addresses UNION SELECT state_province_county FROM addresses
503,361,Tianyi,D1b,zhengning,D1b,SELECT COUNT( * ) FROM person WHERE person.gender = 'females',SELECT count(*) FROM Person WHERE gender = 'female'
519,2037,Tianyi,L4,zhengning,L4,SELECT SUM( salary.salary ) FROM salary WHERE salary.year = 2010 AND salary.year = 2001,SELECT salary FROM salary WHERE YEAR = 2010 UNION SELECT salary FROM salary WHERE YEAR = 2001
535,1841,Tianyi,A1b,zhengning,A2a,"SELECT player.player_name , player.birthday FROM player JOIN player_attributes ON player.player_api_id = player_attributes.player_api_id ORDER BY player_attributes.potential DESC LIMIT 5","SELECT DISTINCT T1.player_name , T1.birthday FROM Player AS T1 JOIN Player_Attributes AS T2 ON T1.player_api_id = T2.player_api_id ORDER BY potential DESC LIMIT 5"
559,2078,Tianyi,CE2; F3,zhengning,CE2,SELECT procedures.name FROM trained_in JOIN physician ON trained_in.physician = physician.employeeid WHERE procedures.cost<5000 AND physician.name = 'John Wen' AND procedures.cost<5000,"SELECT name FROM procedures WHERE cost < 5000 INTERSECT SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid = T2.physician JOIN procedures AS T3 ON T3.code = T2.treatment WHERE T1.name = ""John Wen"""
575,2151,Tianyi,KA1b; CE2,zhengning,"CE2, KA1b","SELECT project_staff.project_id , COUNT( * ) FROM project_staff GROUP BY project_staff.project_id","SELECT T1.project_id , count(*) FROM Project_Staff AS T1 JOIN Projects AS T2 ON T1.project_id = T2.project_id GROUP BY T1.project_id ORDER BY count(*) ASC"
591,2025,Tianyi,A1b; D1a; E1,zhengning,"A1b, D1a",SELECT song.artist_name FROM song WHERE song.languages = 'English' EXCEPT SELECT artist.artist_name FROM artist JOIN song ON artist.artist_name = song.artist_name WHERE song.languages = 'English' AND song.rating > 8,"SELECT DISTINCT artist_name FROM song WHERE languages = ""english"" EXCEPT SELECT DISTINCT artist_name FROM song WHERE rating > 8"
618,2070,Tianyi,BE5,zhengning,BE5,SELECT AVG( procedures.cost ) FROM procedures JOIN trained_in ON procedures.code = trained_in.physician JOIN procedures ON procedures.code = trained_in.physician WHERE physician.name = 'John Wen',"SELECT avg(T3.cost) FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid = T2.physician JOIN procedures AS T3 ON T3.code = T2.treatment WHERE T1.name = ""John Wen"""
623,1804,Tianyi,D1,zhengning,D1c,"SELECT tv_channel.package_option , tv_channel.series_name FROM tv_channel WHERE tv_channel.hight_definition_tv = 'y'","SELECT package_option , series_name FROM TV_Channel WHERE hight_definition_TV = ""yes"""
651,1747,Tianyi,CL1,zhengning,BL1,"SELECT countries.countryname , car_makers.id FROM countries JOIN car_makers ON countries.countryid = car_makers.country GROUP BY countries.countryid HAVING COUNT( * ) >= 1","SELECT T1.CountryName , T1.CountryId FROM COUNTRIES AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId = T2.Country GROUP BY T1.CountryId HAVING count(*) >= 1;"
655,1673,Tianyi,BL2,zhengning,BL2,"SELECT routes.src_ap , airports.name , COUNT( * ) FROM routes JOIN airports ON routes.src_apid = airports.apid GROUP BY airports.name","SELECT count(*) , T1.name FROM airports AS T1 JOIN routes AS T2 ON T1.apid = T2.src_apid GROUP BY T1.name"
671,2310,Tianyi,CL1,zhengning,CE3,SELECT services.service_name FROM services WHERE services.service_id NOT IN (SELECT forms.service_id FROM forms),SELECT service_name FROM services EXCEPT SELECT t1.service_name FROM services AS t1 JOIN party_services AS t2 ON t1.service_id = t2.service_id
691,2061,Tianyi,CE2; A1b,zhengning,"A1b, CE2","SELECT physician.name , physician.position FROM physician JOIN prescribes ON physician.employeeid = prescribes.physician WHERE medication.brand = 'X'","SELECT DISTINCT T1.name , T1.position FROM physician AS T1 JOIN prescribes AS T2 ON T1.employeeid = T2.physician JOIN medication AS T3 ON T3.code = T2.medication WHERE T3.Brand = ""X"""
703,478,Tianyi,D1a,zhengning,D1a,SELECT dorm.dorm_name FROM dorm WHERE dorm.gender = 'f',SELECT dorm_name FROM dorm WHERE gender = 'F'
727,1189,Tianyi,BE5,zhengning,BE5,"SELECT COUNT( * ) , block.blockcode FROM block JOIN room ON block.blockfloor = room.blockfloor JOIN block ON block.blockcode = room.blockcode GROUP BY block.blockcode","SELECT count(*) , T1.blockcode FROM BLOCK AS T1 JOIN room AS T2 ON T1.blockfloor = T2.blockfloor AND T1.blockcode = T2.blockcode GROUP BY T1.blockcode"