,category_Fleiss_kappa
1,0.24210526315789485
2,-0.09090909090908979
4,1.0
6,0.7983193277310924
11,-0.14285714285714285
12,0.6190476190476188
13,0.7473684210526315
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
35,1.0
36,1.0
41,1.0
43,0.6190476190476188
46,0.6190476190476188
47,1.0
48,1.0
53,1.0
54,1.0
69,1.0
70,1.0
71,1.0
75,1.0
78,0.3999999999999999
79,1.0
82,1.0
83,1.0
88,1.0
89,1.0
90,1.0
91,1.0
106,0.6190476190476188
107,0.6250000000000001
109,1.0
111,1.0
113,1.0
116,1.0
119,1.0
122,1.0
123,1.0
126,1.0
127,1.0
129,0.5555555555555557
134,0.6190476190476188
143,1.0
144,0.5555555555555557
149,1.0
151,1.0
154,0.3999999999999999
159,1.0
167,1.0
168,1.0
173,1.0
174,1.0
175,1.0
176,1.0
190,0.7473684210526315
191,0.7473684210526315
192,0.3949579831932773
193,0.6250000000000001
206,0.6250000000000001
207,1.0
208,1.0
209,1.0
211,1.0
213,1.0
221,1.0
222,1.0
226,1.0
298,0.3949579831932773
303,0.8222222222222222
304,0.7983193277310924
305,0.6250000000000001
311,1.0
312,1.0
317,1.0
323,1.0
324,1.0
329,0.7473684210526315
330,0.7473684210526315
332,0.8222222222222222
335,1.0
337,0.24210526315789485
338,0.3999999999999999
346,1.0
348,1.0
360,1.0
362,1.0
364,1.0
366,1.0
371,1.0
372,1.0
373,1.0
374,0.6190476190476188
376,1.0
378,1.0
380,1.0
384,1.0
385,0.5555555555555557
386,0.5555555555555557
387,0.11111111111111101
388,0.6571428571428571
389,-0.20000000000000057
390,-0.20000000000000057
391,0.7983193277310924
392,1.0
395,1.0
396,1.0
398,0.7983193277310924
403,1.0
404,1.0
413,1.0
414,1.0
415,1.0
416,1.0
417,1.0
418,1.0
422,1.0
423,1.0
430,1.0
431,1.0
436,1.0
437,1.0
438,1.0
439,1.0
440,1.0
441,1.0
448,1.0
449,1.0
452,1.0
457,1.0
458,1.0
459,1.0
460,1.0
461,1.0
469,1.0
470,1.0
471,1.0
472,1.0
473,1.0
474,0.7473684210526315
475,1.0
476,0.7983193277310924
477,0.6250000000000001
478,1.0
480,1.0
481,1.0
487,1.0
488,1.0
493,1.0
494,1.0
497,1.0
498,1.0
499,0.8222222222222222
500,0.5555555555555557
503,1.0
527,0.5555555555555557
528,1.0
538,1.0
541,0.3999999999999999
547,1.0
548,1.0
557,1.0
558,1.0
559,1.0
560,0.3999999999999999
561,0.7473684210526315
562,1.0
567,1.0
568,1.0
569,0.5555555555555557
571,1.0
572,1.0
577,1.0
578,1.0
584,1.0
592,0.3999999999999999
593,0.24210526315789485
611,1.0
612,1.0
622,1.0
624,1.0
626,0.7983193277310924
630,0.7983193277310924
631,1.0
632,1.0
634,1.0
635,1.0
636,0.24210526315789485
637,1.0
638,0.3949579831932773
639,1.0
640,1.0
642,1.0
643,1.0
646,0.7473684210526315
648,0.7473684210526315
649,1.0
650,0.6190476190476188
651,0.7473684210526315
652,1.0
656,1.0
657,1.0
660,1.0
662,1.0
663,1.0
668,1.0
669,1.0
670,1.0
672,1.0
673,1.0
674,1.0
675,1.0
677,1.0
678,1.0
679,1.0
680,1.0
681,0.6190476190476188
684,1.0
688,1.0
689,1.0
690,1.0
692,0.7983193277310924
694,1.0
695,0.8222222222222222
696,0.3142857142857141
697,0.7473684210526315
698,1.0
705,1.0
707,0.11111111111111101
708,0.6250000000000001
709,1.0
710,1.0
711,1.0
712,1.0
715,0.7473684210526315
718,1.0
719,1.0
720,1.0
724,1.0
725,1.0
728,1.0
729,1.0
732,0.7473684210526315
735,1.0
738,1.0
740,0.5555555555555557
741,0.3949579831932773
742,1.0
743,0.3949579831932773
744,0.8222222222222222
745,1.0
746,1.0
757,1.0
758,1.0
759,0.7983193277310924
760,0.4666666666666667
761,1.0
762,1.0
763,1.0
765,0.7983193277310924
771,1.0
775,1.0
776,1.0
785,1.0
786,1.0
789,1.0
790,1.0
794,0.7983193277310924
804,1.0
809,1.0
810,0.4666666666666667
811,1.0
812,0.8222222222222222
815,-0.09090909090908979
818,1.0
820,1.0
821,1.0
822,1.0
829,1.0
830,1.0
831,1.0
833,1.0
834,1.0
835,1.0
836,1.0
841,1.0
842,1.0
843,0.3999999999999999
847,0.7983193277310924
851,1.0
852,1.0
854,1.0
855,0.6190476190476188
858,1.0
862,1.0
863,1.0
865,0.7473684210526315
866,1.0
867,1.0
868,0.7983193277310924
869,1.0
870,1.0
871,1.0
874,0.6250000000000001
876,0.6250000000000001
877,1.0
883,0.5555555555555557
886,1.0
887,1.0
892,1.0
893,0.5555555555555557
895,1.0
896,1.0
899,1.0
900,0.4666666666666667
908,1.0
909,1.0
910,1.0
915,1.0
916,1.0
917,-0.09090909090908979
918,1.0
921,0.7473684210526315
922,0.6190476190476188
929,1.0
930,1.0
940,1.0
942,1.0
943,1.0
945,1.0
946,1.0
947,1.0
948,0.6250000000000001
953,0.7983193277310924
954,1.0
964,1.0
965,0.7983193277310924
966,0.8321678321678322
969,1.0
971,0.8222222222222222
972,0.8222222222222222
977,0.3999999999999999
978,0.3999999999999999
979,0.5555555555555557
981,1.0
982,1.0
985,-0.2631578947368418
986,0.11111111111111101
987,1.0
991,1.0
992,0.7983193277310924
995,0.7473684210526315
996,0.8222222222222222
997,0.8222222222222222
998,1.0
999,0.24210526315789485
1000,1.0
1001,1.0
1005,0.7473684210526315
1009,1.0
1011,1.0
1012,1.0
1014,0.5555555555555557
1015,1.0
1016,0.5555555555555557
1017,0.5555555555555557
1020,1.0
1021,1.0
1022,1.0
1023,1.0
1034,0.7473684210526315
1035,0.5555555555555557
1036,0.5555555555555557
1037,1.0
1038,1.0
1039,0.7473684210526315
1042,0.8222222222222222
1043,0.6250000000000001
1044,1.0
1045,1.0
1046,1.0
1047,1.0
1048,1.0
1049,1.0
1051,1.0
1054,1.0
1055,1.0
1056,1.0
1057,1.0
1059,0.6190476190476188
1060,1.0
1061,1.0
1062,1.0
1063,1.0
average,0.8723856031279356
