,desrciption,Krippendroffis_alpha
0,2149zhengzhang,0.5536945812807882
1,2149tianyi,0.49158249158249157
2,2149zhengning,1.0
3,2149toby,0.7701674277016743
4,532zhengzhang,0.6528735632183909
5,532tianyi,0.7079303675048356
6,532zhengning,0.5630787037037037
7,532toby,0.7079303675048356
8,2094zhengzhang,0.7945578231292517
9,2094tianyi,0.7945578231292517
10,2094zhengning,0.7945578231292517
11,2094toby,0.7945578231292517
12,1125zhengzhang,1.0
13,1125tianyi,0.38367346938775515
14,1125zhengning,0.14977477477477463
15,1125toby,0.355336617405583
16,2294zhengzhang,0.42541856925418575
17,2294tianyi,0.44831291639802284
18,2294zhengning,0.38367346938775515
19,2294toby,0.15697865353037765
20,1274zhengzhang,1.0
21,1274tianyi,1.0
22,1274zhengning,1.0
23,1274toby,1.0
24,251zhengzhang,0.7945578231292517
25,251tianyi,0.7945578231292517
26,251zhengning,0.4898648648648649
27,1978zhengzhang,1.0
28,1978tianyi,1.0
29,1978toby,1.0
30,2018zhengzhang,1.0
31,2018tianyi,1.0
32,2018toby,1.0
33,1331zhengzhang,0.5206349206349208
34,1331tianyi,0.5206349206349208
35,1331zhengning,0.5206349206349208
36,1331toby,0.5206349206349208
37,1139zhengzhang,1.0
38,1139tianyi,0.7945578231292517
39,1139zhengning,1.0
40,1139toby,1.0
41,2179zhengzhang,0.3198198198198199
42,2179tianyi,0.2561576354679803
43,2179zhengning,0.30092592592592593
44,2179toby,0.3105022831050228
45,2153zhengzhang,0.3105022831050228
46,2153tianyi,0.21354166666666663
47,2153zhengning,0.4898648648648649
48,2153toby,0.3198198198198199
49,2168zhengzhang,0.45451559934318553
50,2168tianyi,0.19558599695586
51,2168zhengning,0.5536945812807882
52,2168toby,0.5630787037037037
53,2000zhengzhang,0.5536945812807882
54,2000tianyi,0.25692825692825694
55,2000zhengning,0.5536945812807882
56,2000toby,0.4756944444444444
57,1961zhengzhang,-0.020270270270270174
58,1961tianyi,0.12615740740740722
59,1961zhengning,0.2561576354679803
60,1961toby,0.057799671592775104
61,1578zhengzhang,0.30092592592592593
62,1578tianyi,0.25692825692825694
63,1578zhengning,0.4898648648648649
64,1578toby,0.2561576354679803
65,1585zhengzhang,1.0
66,1585tianyi,1.0
67,1585zhengning,0.7945578231292517
68,1585toby,1.0
69,1671zhengzhang,0.7945578231292517
70,1671tianyi,0.7945578231292517
71,1671zhengning,0.7701674277016743
72,1671toby,0.7945578231292517
73,1704zhengzhang,0.7945578231292517
74,1704tianyi,0.4898648648648649
75,1704zhengning,0.42541856925418575
76,1704toby,0.38367346938775515
77,2373zhengzhang,0.1097505668934241
78,2373tianyi,0.1097505668934241
79,2373zhengning,-0.020270270270270174
80,2373toby,0.14977477477477463
81,798zhengzhang,1.0
82,798zhengning,0.4898648648648649
83,798toby,0.5206349206349208
84,1131zhengzhang,0.30092592592592593
85,1131tianyi,0.22018779342723005
86,1131zhengning,0.5536945812807882
87,1131toby,0.3883101851851851
88,2374zhengzhang,0.355336617405583
89,2374tianyi,0.5536945812807882
90,2374zhengning,0.355336617405583
91,2374toby,0.24671201814058963
92,1151zhengzhang,0.38367346938775515
93,1151tianyi,0.38367346938775515
94,1151zhengning,0.4898648648648649
95,1151toby,0.3883101851851851
96,2051zhengzhang,0.355336617405583
97,2051tianyi,0.43286384976525816
98,2051zhengning,0.4898648648648649
99,2051toby,0.4898648648648649
100,1880zhengzhang,0.3198198198198199
101,1880tianyi,0.355336617405583
102,1880zhengning,0.5536945812807882
103,1880toby,0.355336617405583
104,2069zhengzhang,0.7945578231292517
105,2069tianyi,0.7378472222222222
106,2069zhengning,0.24671201814058963
107,2069toby,0.24671201814058963
108,2367zhengzhang,0.3105022831050228
109,2367tianyi,0.15697865353037765
110,2367zhengning,0.08066971080669716
111,2367toby,0.7945578231292517
112,2312zhengzhang,0.38367346938775515
113,2312tianyi,0.14977477477477463
114,2312zhengning,0.14977477477477463
115,361zhengzhang,1.0
116,361tianyi,1.0
117,361zhengning,1.0
118,361toby,1.0
119,2037zhengzhang,0.3198198198198199
120,2037tianyi,0.4898648648648649
121,2037zhengning,0.38367346938775515
122,2037toby,0.30092592592592593
123,1841zhengzhang,0.38367346938775515
124,1841tianyi,0.38367346938775515
125,1841zhengning,0.4898648648648649
126,1841toby,0.21178225205070833
127,2078zhengzhang,0.14977477477477463
128,2078tianyi,0.29107981220657275
129,2078zhengning,-0.027210884353741527
130,2078toby,0.14977477477477463
131,2151zhengzhang,1.0
132,2151tianyi,0.7945578231292517
133,2151zhengning,1.0
134,2151toby,1.0
135,2025zhengzhang,1.0
136,2025tianyi,0.46071428571428574
137,2025zhengning,0.8512315270935961
138,2025toby,0.3105022831050228
139,2070zhengzhang,0.4898648648648649
140,2070tianyi,0.12615740740740722
141,2070zhengning,1.0
142,2070toby,0.8512315270935961
143,1804zhengzhang,0.4898648648648649
144,1804tianyi,0.4898648648648649
145,1804zhengning,0.4898648648648649
146,1804toby,0.4898648648648649
147,1747zhengzhang,0.7945578231292517
148,1747tianyi,0.6528735632183909
149,1747zhengning,0.3105022831050228
150,1747toby,0.4898648648648649
151,1673zhengzhang,0.5206349206349208
152,1673tianyi,0.2561576354679803
153,1673zhengning,0.355336617405583
154,1673toby,0.21178225205070844
155,2310zhengzhang,0.5206349206349208
156,2310tianyi,0.355336617405583
157,2310zhengning,0.5206349206349208
158,2310toby,0.5206349206349208
159,2061zhengzhang,1.0
160,2061tianyi,0.6552511415525114
161,2061zhengning,0.6528735632183909
162,2061toby,1.0
163,478zhengzhang,1.0
164,478tianyi,1.0
165,478zhengning,1.0
166,478toby,1.0
167,1189zhengzhang,1.0
168,1189tianyi,0.3198198198198199
169,1189zhengning,0.1097505668934241
170,1189toby,0.7945578231292517
171,1563zhengzhang,1.0
172,1563tianyi,0.7378472222222222
173,1563toby,0.7378472222222222
174,531zhengzhang,1.0
175,531tianyi,1.0
176,531toby,1.0
177,798tianyi,-0.01342281879194629
178,average,0.5619965545348957
