,B,F,D,A,L,C,E,I,N,M,K,G
toby,"{448.0, 1152.0, 1155.0, 486.0, 447.0, 1866.0, 1867.0, 1741.0, 1998.0, 1720.0, 1869.0, 2353.0, 1138.0, 1752.0, 88.0, 1596.0, 862.0, 1567.0}","{2080.0, 1152.0, 1155.0, 2124.0, 1741.0, 1997.0, 2353.0, 2161.0, 1138.0, 2162.0, 2135.0, 2008.0, 1752.0, 1596.0}","{1120.0, 448.0, 1152.0, 1994.0, 1803.0, 1101.0, 2135.0, 1752.0, 1118.0, 730.0, 763.0, 1116.0, 2014.0}","{2080.0, 556.0, 2135.0, 1818.0, 2075.0, 1821.0, 2014.0}","{448.0, 486.0, 447.0, 1866.0, 1867.0, 1869.0, 1720.0, 1998.0, 1719.0, 88.0, 862.0, 1567.0}","{2080.0, 1867.0, 1580.0, 1869.0, 1741.0, 2353.0, 2014.0}","{2080.0, 1665.0, 1187.0, 1867.0, 1741.0, 1869.0, 2353.0, 1138.0, 2014.0}","{2080.0, 2313.0, 447.0, 448.0}",set(),{1580.0},"{1120.0, 1821.0}",set()
zhengz,"{448.0, 1665.0, 1155.0, 486.0, 447.0, 1866.0, 1867.0, 1869.0, 1998.0, 1720.0, 2353.0, 1138.0, 2135.0, 88.0, 1596.0, 862.0, 1567.0}","{448.0, 1152.0, 1155.0, 1803.0, 2124.0, 1997.0, 1580.0, 2353.0, 2161.0, 1138.0, 2162.0, 2135.0, 2008.0, 1596.0}","{1120.0, 1152.0, 1994.0, 1803.0, 1997.0, 1101.0, 2008.0, 1752.0, 1118.0, 730.0, 763.0, 1116.0, 2014.0}","{2080.0, 486.0, 2313.0, 556.0, 2135.0, 1818.0, 763.0, 1821.0, 2014.0}","{448.0, 1665.0, 486.0, 447.0, 1866.0, 1867.0, 1869.0, 1720.0, 1998.0, 2135.0, 88.0, 862.0, 1567.0}","{2080.0, 2124.0, 1741.0, 1869.0, 1580.0, 2353.0, 2014.0, 1567.0}","{2080.0, 1665.0, 1187.0, 2124.0, 1741.0, 1869.0, 2353.0, 2014.0}","{448.0, 2313.0, 2075.0, 447.0}","{763.0, 862.0}",{1580.0},{1821.0},set()
zhengn,"{1152.0, 1665.0, 1155.0, 1866.0, 1867.0, 1869.0, 1998.0, 1720.0, 1138.0, 1752.0, 88.0, 1596.0, 862.0}","{2080.0, 1152.0, 1155.0, 2124.0, 2161.0, 1138.0, 2162.0, 2135.0, 1752.0, 1596.0}","{1120.0, 448.0, 1152.0, 1994.0, 1803.0, 1997.0, 1101.0, 2135.0, 2008.0, 1752.0, 1118.0, 730.0, 763.0, 1116.0, 2014.0}","{2080.0, 448.0, 2313.0, 556.0, 2135.0, 1818.0, 2075.0, 2014.0, 763.0}","{448.0, 1665.0, 447.0, 1866.0, 1867.0, 1580.0, 1869.0, 1720.0, 1998.0, 1719.0, 88.0, 862.0, 1567.0}","{2080.0, 486.0, 2124.0, 1741.0, 1869.0, 1580.0, 2353.0, 2014.0, 1567.0}","{2080.0, 1665.0, 2124.0, 1741.0, 1869.0, 2353.0, 1138.0, 2014.0}",{2008.0},"{763.0, 1869.0, 862.0}","{2014.0, 486.0}",set(),{1187.0}
tianyi,"{1152.0, 1665.0, 1155.0, 1866.0, 1867.0, 1869.0, 1720.0, 1998.0, 1138.0, 88.0, 862.0}","{448.0, 1152.0, 1155.0, 1187.0, 1803.0, 2124.0, 1997.0, 2161.0, 2162.0, 2135.0, 763.0}","{1120.0, 448.0, 1152.0, 1994.0, 1803.0, 1997.0, 1101.0, 2135.0, 1752.0, 1596.0, 730.0, 763.0, 1116.0, 2014.0, 1118.0}","{448.0, 556.0, 2161.0, 1818.0, 2075.0, 2014.0}","{1665.0, 447.0, 1866.0, 1867.0, 1580.0, 1720.0, 1998.0, 1719.0, 88.0, 862.0, 1567.0}","{486.0, 1580.0, 1869.0, 1741.0, 2353.0, 1567.0}","{1665.0, 1869.0, 1741.0, 2353.0, 1138.0}","{2080.0, 2313.0, 447.0}","{2161.0, 1869.0, 862.0}","{1580.0, 486.0}",set(),set()
intersection4_id,"{1155.0, 1866.0, 1867.0, 1869.0, 1998.0, 1138.0, 1720.0, 88.0, 862.0}","{1152.0, 1155.0, 2124.0, 2161.0, 2162.0, 2135.0}","{1120.0, 1152.0, 1994.0, 1803.0, 1101.0, 1752.0, 1118.0, 730.0, 763.0, 1116.0, 2014.0}","{1818.0, 556.0, 2014.0}","{1866.0, 1867.0, 1567.0, 1998.0, 1720.0, 88.0, 862.0, 447.0}","{2353.0, 1580.0, 1741.0, 1869.0}","{1741.0, 1665.0, 1869.0, 2353.0}",set(),set(),set(),set(),set()
intersection3_id,"{1152.0, 1665.0, 1155.0, 1866.0, 1867.0, 1869.0, 1998.0, 88.0, 862.0, 1138.0, 1720.0, 1596.0}","{1152.0, 1155.0, 2124.0, 1997.0, 2161.0, 2162.0, 1138.0, 2135.0, 1596.0}","{1152.0, 448.0, 1994.0, 1803.0, 1101.0, 1997.0, 2135.0, 1752.0, 730.0, 1116.0, 2014.0, 1118.0, 1120.0, 763.0}","{2080.0, 556.0, 2135.0, 1818.0, 2075.0, 2014.0}","{448.0, 1665.0, 1866.0, 1867.0, 1869.0, 1998.0, 88.0, 862.0, 1567.0, 1719.0, 1720.0, 447.0}","{2080.0, 1580.0, 1741.0, 1869.0, 2353.0, 2014.0, 1567.0}","{2080.0, 1665.0, 1869.0, 1741.0, 2353.0, 1138.0, 2014.0}","{2313.0, 447.0}",{862.0},{1580.0},set(),set()
union_id,"{1152.0, 1665.0, 1155.0, 1567.0, 2353.0, 1720.0, 1596.0, 447.0, 448.0, 1866.0, 1867.0, 1869.0, 1998.0, 1741.0, 2135.0, 1752.0, 88.0, 862.0, 486.0, 1138.0}","{1152.0, 1155.0, 1803.0, 2080.0, 1187.0, 1580.0, 2353.0, 1596.0, 448.0, 2124.0, 1997.0, 1741.0, 2135.0, 2008.0, 1752.0, 2161.0, 2162.0, 1138.0, 763.0}","{1120.0, 448.0, 1152.0, 1994.0, 1803.0, 1997.0, 1101.0, 2008.0, 2135.0, 1752.0, 1596.0, 730.0, 763.0, 1116.0, 2014.0, 1118.0}","{448.0, 2080.0, 486.0, 2313.0, 556.0, 2161.0, 2135.0, 1818.0, 2075.0, 1821.0, 2014.0, 763.0}","{448.0, 1665.0, 486.0, 447.0, 1866.0, 1867.0, 1580.0, 1869.0, 1720.0, 1998.0, 2135.0, 1719.0, 88.0, 862.0, 1567.0}","{2080.0, 486.0, 1867.0, 1580.0, 1869.0, 1741.0, 2124.0, 2353.0, 2014.0, 1567.0}","{2080.0, 1665.0, 1187.0, 1867.0, 2124.0, 1869.0, 1741.0, 2353.0, 1138.0, 2014.0}","{2080.0, 448.0, 2313.0, 2008.0, 2075.0, 447.0}","{2161.0, 763.0, 1869.0, 862.0}","{1580.0, 2014.0, 486.0}","{1120.0, 1821.0}",{1187.0}
intersection4,9,6,11,3,8,4,4,0,0,0,0,0
intersection3,12,9,14,6,12,7,7,2,1,1,0,0
union,20,19,16,12,15,10,10,6,4,3,2,1
inter4/union,0.45,0.3157894736842105,0.6875,0.25,0.5333333333333333,0.4,0.4,0.0,0.0,0.0,0.0,0.0
inter3/union,0.6,0.47368421052631576,0.875,0.5,0.8,0.7,0.7,0.3333333333333333,0.25,0.3333333333333333,0.0,0.0
