,sql_id,username,record_id,error_classification
0,1694,tianyi,10e9d7c9-18a5-4611-a92d-4c364070d01c,"F1, F2"
1,1834,tianyi,63cb7e43-77e4-46cb-bfea-dbf5fffb1683,"D1a, I2"
2,2303,tianyi,83459448-3642-4fa3-bc91-a5a333b1725c,CL1
3,1728,tianyi,ea78b826-53f5-4f19-b15c-e75f0cc44fd4,BN1
4,1815,tianyi,f14ab50c-3836-4e92-a503-f918a63f6391,AN2
5,2384,tianyi,e42d5108-7d9c-4d91-a691-b62d46ac3275,"CL1, CM6"
6,2188,tianyi,927ff72b-72a6-4c7f-88dc-1dc348aef8e1,CE2
7,525,tianyi,850aca7c-de59-4db8-8498-68c715054073,"A1f, AN2"
8,517,tianyi,af78b05e-c021-4717-ac40-fa022434d774,D1
9,1098,tianyi,b89c3446-b748-47d3-af41-f121dabc3980,D1
10,2397,tianyi,1679a504-b9d5-4b2d-95f2-99a1ae55426b,F1
11,1504,tianyi,5eef9c64-3327-46db-b1d6-8dead6bc04f7,D1a
12,1047,tianyi,a002b9c9-1f5e-463a-9f63-515d9508a2d8,D1a
13,1048,tianyi,31ce1b92-60b3-40a2-aaf9-9253cfbe34b8,D1a
14,1737,tianyi,64b4734a-2ab7-41ed-9d00-5df31a22c727,BE5
15,248,tianyi,cb8fd312-b7f9-40dc-b7ea-8af288e0ae9e,BL3
16,1648,tianyi,d52ac067-1144-4716-a182-ce703cf48a09,BL2
17,2375,tianyi,3d444ee8-bf86-49a9-a5cf-bc26faa44fe7,CE3
19,1695,tianyi,189ea93e-757c-4186-b857-d2f2ae49023e,"F1, F2"
20,2055,tianyi,45a6822c-a76e-4087-bd26-37d06bd61f30,"BL1, CL1, CE2"
21,2352,tianyi,1061c8e4-dc79-49f8-9214-e861e80df620,BF4
22,877,tianyi,4a06fe32-1226-4bfc-a563-7a906fc2bfc9,"BL3, L4"
23,1148,tianyi,8cff8682-890e-4e7c-b139-300322684e69,BF4
24,1807,tianyi,4c78cc3f-5aa7-4802-afb8-842201f5d4b0,A2a
25,1137,tianyi,f60da818-edf5-45d5-86d7-c2ad7e61bd3d,BL1
27,306,tianyi,73cec21a-6099-4ece-9d1f-8838a94dfc32,D1
28,1952,tianyi,80478c4b-4caf-4b8e-ba2b-80daafbb0df4,D1
29,1147,tianyi,8e22390e-bba8-49e0-9cca-9571a9a596a7,BF4
30,1988,tianyi,5eef5333-b3cd-46a8-9b70-8ca0ac2e15ec,D1a
31,445,tianyi,5877c784-e077-4863-b960-49b7583ba754,BL3
32,2372,tianyi,7f218586-73f4-4251-9815-ba27684dcddb,CL1
34,1726,tianyi,1c3ec481-fe04-49bb-bffb-1bd4d739d3ed,BL1
35,1188,tianyi,6ea652f1-99f0-4f2e-80ee-c063eb73387d,A1
36,237,tianyi,d6091559-6fc2-4c58-af71-277ce597b7f2,D1a
37,526,tianyi,898fc519-fc88-44d3-aba5-4e1cb05f8473,BL3
38,2381,tianyi,f399f617-aff7-417b-ac8e-b08ef10165ad,"CL1, CE3"
39,1827,tianyi,bc5bd9ce-9b4d-4442-8648-a747aefeb666,"BL3, F3"
40,487,tianyi,f967ce0e-f8c8-4ee7-896b-83e965c1fefd,"F3, I2"
41,922,tianyi,c0c9bb4b-cccf-4eec-acb2-5260328314bb,"CE3, F3, A1f"
42,2396,tianyi,c97447c2-1c8c-443b-9827-77a9e21be50f,D1
43,1579,tianyi,4e7c1879-28d6-408b-b796-c35d29085b47,"CM6, CE2"
44,2148,tianyi,81adfe16-e0b0-44b0-8a5e-5e36d0d7f11f,"D1a, BF4, CF5, CE2"
45,2152,tianyi,0e61684f-1f75-40e9-82ee-8424e5c83000,"CE2, KA1b"
46,584,tianyi,5d177f19-98f5-4b6a-aa4d-344a303840e3,E1
47,670,tianyi,8372d19c-5cf7-4926-9417-618a843f722e,E1
49,1100,tianyi,48b499b6-ba50-49ef-b122-aca72f3eaa23,D1a
50,1778,tianyi,4d14db65-c63b-45e4-8e22-dfff57a09606,BN1
51,603,tianyi,74d1ca0a-8979-4399-ba35-5007ad40d923,D1a
52,2041,tianyi,fe1d16f7-d1dc-4ff0-ad33-9e9e91a8e4f5,CL1
53,107,tianyi,6545cf10-b904-4e93-94b5-4814d1a6809f,BL3
55,2331,tianyi,feda4881-f816-42b1-846f-9e81d9ef4a75,"L5, A1e, BL3"
56,2044,tianyi,3d878c23-791b-437d-a6d6-9448b849fb54,"D1a, A1d"
57,1102,tianyi,6f5f2ef4-e742-4677-9ad6-ba40cb9796c2,D1a
58,1211,tianyi,f80938b3-4edd-4a1a-9f3f-73857a3be276,I2
59,2269,tianyi,b217c1aa-da5f-4e64-8047-beda2d2f8fad,D1a
60,2330,tianyi,4e05b52e-23d5-4a96-862b-74db940048d4,"A1e, L5"
61,2368,tianyi,dd0edef2-ee88-4b34-a276-a29e85199ba6,CM6
63,2172,tianyi,029c7240-925b-43ec-b1a9-ab62f6056cd8,CE2
64,2053,tianyi,dae3b469-ecf0-458a-9176-ac88d1803ad7,K2
65,788,tianyi,2ddd4341-1cff-404e-8c1e-0b8ab0d65925,D1a
66,2295,tianyi,01778dcf-23bd-46d7-8339-c1612e060973,"D1a, CM6, F2, A1g"
67,1678,tianyi,64c3c476-4ced-4ff4-b24e-a528792fd779,D1c
69,253,tianyi,243ed805-7591-4614-bf94-dfe9c82db5bb,D1a
70,1344,tianyi,589ebce4-0507-4df4-aa62-870904bc4408,D1
71,479,tianyi,715ac837-6123-4e45-b519-69561e6c2c0d,D1a
72,2034,tianyi,08f55d70-26cc-4c3a-9fb0-94b5d28a184d,"BE5, AN2"
73,665,tianyi,96901265-14e7-4032-b257-eb3463f5ac27,BL1
74,2147,tianyi,8419ce9e-0008-460b-9bf6-4b1bbe25f5a7,"D1a, CE3, BE5"
76,2169,tianyi,860bcb32-9d61-4cf5-909b-019767203610,A1b
77,1672,tianyi,aa426267-4495-46a3-ad9c-eacaacb84fdb,KA1b
78,1697,tianyi,cdd44cc2-76aa-4924-b2bd-68fd33314814,D1
79,2377,tianyi,7eeef233-5958-4c10-ae22-adc94d23b8ae,CE2
80,2376,tianyi,3ed257a6-e0a5-4451-a9b9-a50b0b4f4609,"CE2, BE5"
81,618,tianyi,78c8d919-ef42-48a0-ae21-b63c97aa7038,"BL2, I2"
82,2383,tianyi,56323018-b626-475e-9a2e-10a7645c3229,"E1, CM6"
83,2074,tianyi,e08f12c5-a4cb-4049-ba09-5f46b5549e2c,"F1, A1e, E1, BE5"
84,492,tianyi,7d042f7a-1762-49e4-8740-5314ba67dd6f,"E1, F3, BL2, CM6"
85,1702,tianyi,1758188f-7473-425f-aab6-c661b65bb3e4,F1
86,1170,tianyi,e1e007e8-ecda-40eb-b212-d5898fb0a1da,D1a
87,1150,tianyi,b7280195-21e6-4192-a350-82792029e029,BF4
88,2079,tianyi,5dc4a20b-f4a6-4a30-bdd1-02ac8a5b6516,"A1d, I2, F4"
89,2386,tianyi,435127aa-7aec-403c-ba6f-95023e5253fb,"F4, I2"
90,555,tianyi,e65cf147-7d6b-463d-8b49-2dd103308273,A1b
91,2297,tianyi,7ce8d573-5305-489b-bc13-d455bbf10442,"CM4, F4, A1d"
92,2345,tianyi,2c042571-db07-40a2-9889-3f9d230b95f3,BL3
93,621,tianyi,f1cdb918-142e-4d70-9e97-84cf4c265e5a,BL1
94,1955,tianyi,4f5314b7-2492-4e7e-b195-49f6f7ee4890,F1
95,1962,tianyi,44a25f09-82e4-4df7-9135-59d7c70e1de2,CE2
96,1856,tianyi,93d559e7-e254-43e6-a3e4-30183110e0cd,"D1a, D1c"
97,1287,tianyi,98ec22f8-ff91-49f6-97ec-149af63893ca,D1b
98,285,tianyi,e4960cd0-1a5d-4450-9a13-ede32a42c0da,D1
99,1456,tianyi,d7adc0e3-8499-4fa6-a63d-d78ec500ebc4,D1a
100,1602,tianyi,d33d57dc-24ad-46a8-91e5-14504fc9b26a,D1
101,1839,tianyi,f889fbd4-354b-4ee3-bbdb-61dc2af32351,E1
103,613,tianyi,f40ebca2-ddef-4a36-8374-a9672ed065f1,D1
104,2015,tianyi,5e5d291a-1513-40b0-a06a-1c4130eabe59,"A2a, AN2, A1f"
105,2217,tianyi,9c3ccb49-fb5f-4a55-9454-2b32c9a45d0f,D1
106,1144,tianyi,a22cc026-68f8-420c-948c-4d150a31a933,BF4
108,1252,tianyi,4a66f570-91dc-4ac3-bcd2-375157e571d9,D1b
109,2009,tianyi,aeb41bbe-73cd-4d30-a5f0-65a6fe542b4d,AN2
110,775,tianyi,00aa83f4-6d9e-4ead-a1df-96f4a9868549,D1a
111,2056,tianyi,bb620645-4dc9-4a66-8366-fa92f09312c6,"D1, CE2, CM6, BL1"
112,2350,tianyi,7dec5a85-f5ae-413e-81e0-b710b83d333f,BL2
113,2292,tianyi,916f5b31-a45d-425d-a546-f43ff09ee3cd,"D1a, BL1, CL1"
114,1756,tianyi,17c08518-c7ff-4697-a2fd-681899f59628,BF4
115,789,tianyi,01dc0e6e-35a2-4e20-8191-75c58fd8d6e6,D1a
116,1868,tianyi,41de7555-1a52-42d1-96b4-e8248cf14c8b,"BL1, BN1"
117,1327,tianyi,4d4d9d36-673c-4ba3-b2c1-f01ae131f0b2,D1a
118,2006,tianyi,320f1e22-6cf8-4362-8d80-e9dec5197cd3,D1a
119,2005,tianyi,424ef0bc-a0d1-42d6-aff4-21e9ab18b264,D1a
120,681,tianyi,c75d55f2-0e62-406f-8eb9-41e39d947df0,BN1
121,1325,tianyi,00aa74c0-daa2-4934-baf7-09d893f6fa73,"D1a, D1b"
123,2215,tianyi,a819c357-dfb2-470a-a40f-a0b204a5196e,D1
124,2219,tianyi,ad862ea3-38ee-42de-bd63-c18b74d3d43a,D1b
125,45,tianyi,44ba9887-de3b-44e4-bcff-ee13bfd284ef,D1a
126,1611,tianyi,7e57daf3-73d4-458e-89c3-1ecf0363954d,F1
127,1608,tianyi,bd6d3647-5780-4937-b047-08f2372f7a77,D1
128,2035,tianyi,db30585b-965e-4d73-8d98-8e782534908b,"I2, BL1, KA1b, BF4"
129,2338,tianyi,45396211-5460-47ab-8458-86df86067136,"D1, D1"
130,1115,tianyi,53641903-dd2e-4457-991f-1a987ad29040,F4
131,284,tianyi,ddc18010-39c0-4f9c-9077-c80ca262dcf7,D1
132,686,tianyi,9df7bab3-88ce-4e6a-a390-6136a33f3a54,D1a
133,2017,tianyi,837a992a-090c-46f8-a113-60de79f50465,D1a
134,2157,tianyi,9a190165-4141-40f6-8030-f0d6b225e1b5,"CE2, BF4, CF5"
135,1833,tianyi,b7ea7a94-b702-45d6-ad30-fc7b764c3e99,"D1a, K2"
136,2158,tianyi,75771b51-1741-4a76-833d-31d66c1b956f,"CE2, D1b"
138,1136,tianyi,c9720f21-4b27-4d16-bdfb-b49233968f19,"BL1, BE5"
139,1562,tianyi,ea3bbb27-27ff-4404-a63f-d1fa3b4bc8e5,"BF4, CF5"
140,1736,tianyi,582bd26d-38d6-4980-9fe2-bd90c36c3adb,BL3
141,2380,tianyi,1b73167f-6890-4654-aeae-9b0955ec5a2d,"CE2, D1c"
142,2187,tianyi,1f7e6ba1-5613-486e-8901-9b6f909f1357,CE2
143,1556,tianyi,aa0d2cea-36f3-43c2-a968-ef8b3c10e9c4,D1
144,1121,tianyi,3dd36bb3-8cfa-4bc9-b47b-ddedccd0b878,D1a
145,1890,tianyi,4cc007dd-5e2a-4620-8656-ab890b4df16a,E1
146,1746,tianyi,c9c5ca7b-fb93-435a-bc62-3947a895863a,E1
147,1740,tianyi,cf3a73d1-5734-4fe4-891a-75a722143a18,D1
148,1500,tianyi,cb157599-6a68-4557-87a3-a324f8b97df5,AN2
149,2385,tianyi,17116621-6028-48e8-b729-129586aae003,F4
150,1262,tianyi,754096e5-7e9d-498c-861d-070cb992fd2a,D1b
152,1099,tianyi,3e4dc8b3-c121-4be2-9526-714da18dc495,"D1, L4"
153,774,tianyi,a6ef5d22-49b7-440d-bcf0-236e43d95274,D1a
154,1660,tianyi,768d159b-f5b4-419c-95d8-cee10d62d9b5,"D1c, CL1"
155,2039,tianyi,66cbea9f-f82a-4d50-82a2-6efd37ccb16c,"BL3, BN1"
156,1503,tianyi,f7cadd1c-ac4f-490a-b591-778a634f9d93,D1a
157,821,tianyi,cdc8882c-ad36-435e-ab0a-27ec1a36726f,D1a
158,1154,tianyi,3a743515-1c9b-422c-a2d3-e3eb24526142,BF4
159,2266,tianyi,9647384a-3bcb-40f4-95ab-d500dea1fb21,D1a
160,2040,tianyi,c90d9922-3879-4aac-abfe-2811d7745cdd,"BL1, BN1"
161,446,tianyi,24b2be37-65c3-43d3-9b40-0dcac6473dd5,"L5, BL3"
162,1455,tianyi,958cfd58-d28d-4624-9c6e-34a1ac73c877,D1a
163,493,tianyi,3430495f-730c-4ab0-8d09-5a87d5a8cf4a,"CL1, A1b, E1"
164,1709,tianyi,bafd91d0-27a7-4fae-8c4a-5c2a3209c476,K2
165,986,tianyi,8f36b65f-a48d-4fda-a7c2-bbb68f5ec422,D1a
166,2001,tianyi,ed463f09-b305-4863-ba84-346172eb9deb,"A1e, F2, BL3"
167,1784,tianyi,305694d2-8816-4290-9e47-2b79382cc561,"E1, L5, F3"
168,2343,tianyi,7ad0d684-7e0c-4501-b319-77445c09ac08,A1g
169,2311,tianyi,90a3dde7-6e02-4f27-85ed-da09e82a1d41,"I2, E1, A1d"
170,2371,tianyi,34dcabf4-407b-40ba-a490-b3ab2041b68b,BL1
171,2155,tianyi,d79a67e9-9436-43cd-97cf-28ebaf115106,"E1, KA1b"
172,1126,tianyi,37715909-367e-4afe-a747-567f843fc32c,"BL1, BN1"
173,2117,tianyi,ccb1d766-617e-4092-aeaa-92d01f21a337,D1a
174,1881,tianyi,18e3cf83-93af-4e7a-81e0-548b80e2b998,"CE2, CF5, BL3"
175,2190,tianyi,14db5306-4678-4ead-9588-a9683560ab7b,D1
176,924,tianyi,37eb60cb-1a20-4a67-9905-bc023abcc4b4,D1a
177,687,tianyi,d4fc94b8-cb70-40ce-8f15-df9ad7d92192,D1a
178,2189,tianyi,28f440cb-a2de-4544-a39f-84bcfb3ce8ce,CE2
179,1788,tianyi,2ff585aa-9b10-40ac-937c-d28b2d845829,D1c
181,1974,tianyi,e2515153-59c2-4507-ac2b-45af9926f4da,D1
182,2101,tianyi,d66c2df5-e854-40a0-ba8a-57c860989efa,F1
184,254,tianyi,c1ca1e1c-5986-4cdc-8460-ee0d01832343,D1a
185,649,tianyi,96a245a6-a870-473a-ac5d-ad086ed1af80,A1b
186,1999,tianyi,837e34bb-50ab-4c35-8577-2da29c946cec,"A2a, D1"
187,2011,tianyi,83ee5a53-6edc-4159-9c43-185843c3461e,"BL3, BN1, KA1b"
189,1744,tianyi,5e1c91da-5dcc-4b4f-831b-dba111649a35,BF4
190,2026,tianyi,e03b021a-ef09-4397-b956-ecdb8c8ca380,"D1a, F3, A1b"
191,1921,tianyi,07bde5ea-113b-420d-bef0-96f99a9b969f,L5
192,1950,tianyi,50d29f19-0aa4-4e49-81f1-4791977c3191,"L5, AN2, A2a"
193,1557,tianyi,67d4a7ae-6c37-4769-bcfe-d7497dce4875,D1
194,1367,tianyi,8c175787-7b74-4f6d-80c4-e1273e74441c,"D1, BF4"
196,2184,tianyi,b49eb8b0-0ad3-49fa-9f46-c16ef25b76d6,D1a
197,1822,tianyi,02a217b8-1f87-4c54-a165-0133d25cc3ac,"KA1b, AN2"
198,2167,tianyi,31a4ec82-cf2c-4a39-bbc2-331cf316d66f,D1b
199,2060,tianyi,887c6d56-72ea-42d4-8cba-0277cd5523bf,"A1b, CE2"
200,754,tianyi,32a3cd02-cab5-43e0-a195-31150ce59b62,D1a
201,2043,tianyi,fb29072a-5c43-4807-88cd-2610f2054bbb,"D1a, A1d"
202,1103,tianyi,2a9f53e9-9245-4375-83d0-298ab44d8926,D1a
203,1666,tianyi,7b5ba6a4-2243-41b9-9fb5-e2fe40a77d72,"BL1, E1"
204,1698,tianyi,73c7a0eb-aa60-49e0-896b-ddbcc33f7f68,D1
205,1130,tianyi,b8ebf762-fc55-4444-bb12-445947e05ee5,"D1, BL2, BF4"
206,362,tianyi,bd2f73d8-a25c-4bce-8514-8a975b33799f,D1b
207,623,tianyi,c697b841-66cf-409e-8925-46ee6f64bf9f,BL1
208,1787,tianyi,a432d222-5765-4b4d-b3e4-93c3be0454a3,D1c
209,1145,tianyi,40ee7432-437f-4848-9647-a5ecb6081760,"BE5, BF4"
210,1875,tianyi,661604cc-806e-433e-8b17-6580c9bade44,CE2
211,2284,tianyi,2424fd69-ff6f-40e6-8ba2-ca45e361c1b5,K2
212,2030,tianyi,1390cacb-6d18-4a40-b5d4-aa0b17e57e35,"BL2, KA1b, BN1"
213,246,tianyi,77022519-0aee-4ab3-b198-8c25546fafb7,CM6
216,238,tianyi,7acb94ab-357b-423b-9377-cfcb1a5e957c,D1a
217,2032,tianyi,8bb7fd38-b361-4717-b4e1-d2c144f349f0,"BL1, CE2, BF4"
218,1261,tianyi,54de6419-ee50-4b3a-b994-367e8de3b1d4,D1b
219,1171,tianyi,166ec0ba-a6fa-4e40-b256-da16e1c1664e,D1a
220,242,tianyi,de89214d-ecf8-48ed-a337-c53188585a77,I2
221,1124,tianyi,9163107a-be0d-45ed-a198-0327e6d50436,BL1
222,1225,tianyi,b64d2aab-4828-4501-836a-24a052331ce4,D1a
223,2171,tianyi,de0f5596-e7bd-4efe-999a-ef57479de682,"CF5, BF4, I2"
224,1300,tianyi,c69d72fa-4aaf-44be-91e5-a4877dbfa777,D1c
225,245,tianyi,28b9fbc9-763f-4cee-b56e-a6b27177ce3a,"CM6, CF5"
226,682,tianyi,e6526cd0-14c7-4662-8b43-6d32af087388,"E1, BN1"
227,1742,tianyi,146fec74-9b38-44c9-8754-2762ce0c1cb0,"D1a, E1, F3"
228,966,tianyi,7d83f618-5b93-4144-ae5a-dcb12cdc6315,D1a
229,705,tianyi,a0efdf0b-8d0e-4893-b77c-dba3ab374196,D1
230,1586,tianyi,904f8223-6310-4bde-a1ed-2e73cce30da5,A1b
231,354,tianyi,4c0ad2a0-ca2c-4dba-aafa-376a6146e99a,"D1a, D1b"
232,249,tianyi,49467523-b720-4324-9782-039a2c578e12,"CF5, CM6"
233,250,tianyi,56fafc34-5f15-4c7d-91cd-71a4038e08cf,CF5
234,1598,tianyi,5fa53eff-6d79-4910-8ba3-416ec2671b15,BF4
236,2327,tianyi,58bcce87-39f2-45fb-8646-ad367c3c4f2c,"CL1, A1d"
239,1329,tianyi,cb1217af-64e4-4c8a-aab8-1759f63c9b40,D1c
240,2214,tianyi,9867e74f-b416-4ecc-962f-9083f70b42cb,D1
242,1323,tianyi,3568e393-80e5-4a1e-bc6b-674168a9cf14,D1a
243,2150,tianyi,5c197052-f32f-45a3-9398-af04e2fdb711,"D1, A1a"
244,1877,tianyi,af4e25b2-40f2-4568-ae78-debd697fa64f,"BL2, BL1, L4, K2"
246,2045,tianyi,102c7609-a49e-4d0a-b8a9-0ed35d6d8d7d,BN1
247,474,tianyi,fcf5862f-5fc6-42a2-8797-3afea002a129,L5
248,270,tianyi,35e35876-4bc7-49a5-a73c-fe0d2bce9912,D1a
249,985,tianyi,db1cab10-8b5e-4af6-9cf3-1ad53f94e251,D1a
250,1701,tianyi,ba191561-0604-46c3-9003-10eb619e4b0f,F1
251,1703,tianyi,c0d3c0d4-ec30-43b6-baf4-d6fa51ce75df,F1
252,1984,tianyi,0ded486e-4b09-4d96-9f52-218ebccd3b9f,CE2
253,575,tianyi,020c207e-b6eb-46fb-b277-3a91746d54ca,A2a
255,2029,tianyi,202e1f12-0154-4329-b7b4-7174eb9fbda6,BL1
257,1140,tianyi,058a8f73-04ee-462f-ac8b-15c199645d2f,BF4
258,2356,tianyi,4cf64aad-3ba6-4a20-bcd5-c5b84d86a6ba,"BN1, CE2"
259,1993,tianyi,962641f7-2a27-46c1-be78-53970c0742cb,D1a
260,2329,tianyi,3d3df9a6-94fe-4854-b64f-c1c05dc6b54b,"A2a, CL1, BL1"
261,2185,tianyi,9c779c2d-77b1-4b9a-93d8-0156e209a406,D1a
262,614,tianyi,8bf11f2a-6b37-451c-b955-83611cd19441,D1
263,1576,tianyi,8ec7ef16-64b5-40fa-b185-2f0cecb2b3b1,"BL1, CE2"
0,1694,zhengning,8afccbcc-bdd9-4e30-bff3-16a809dc1568,F2
1,1834,zhengning,a5dcab51-a736-4596-9870-d55649e5c3c4,"A1a, KA1b"
2,2303,zhengning,3e38d0e5-c062-4f69-8e4b-faff8f1f0e63,CL1
3,1728,zhengning,45c3478b-4fe0-43cd-b7e8-b31ba988894f,"CM6, BN1"
